|sourceId| |articleId| |author| |title| |description| |url| |urlToImage| |publishedAt|
|bloomberg| |35| |Jesse Hamilton| |Wells Fargo's Big Fine Puts Fresh Focus on Power of Trump Tweets| |For years, Republican lawmakers and regulators have groused about big corporate fines, arguing that they mostly punish blameless shareholders, not the executives who are responsible for misconduct.| |http://www.bloomberg.com/news/articles/2018-04-21/wells-fargo-s-big-fine-puts-fresh-focus-on-power-of-trump-tweets| |https://assets.bwbx.io/s3/javelin/public/javelin/images/social-default-a4f15fa7ee.jpg| |2018-04-21T04:00:01Z|
|bloomberg| |36| |Frederic Tomesco| |Canadian Pacific, Rail Unions Reach Deal to Avoid Canada Strike| |Canadian Pacific Railway Ltd. and two of its unions reached a last-minute agreement to stave off a strike that threatened to snarl traffic at Canada’s second-biggest railroad.| |http://www.bloomberg.com/news/articles/2018-04-21/canadian-pacific-rail-unions-reach-deal-to-avoid-canada-strike| |https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iX_ln5ohjDPY/v0/1200x800.jpg| |2018-04-21T00:32:36Z|
|bloomberg| |37| |Liz McCormick| |Treasury 10-Year Yield Sets 2018 High, Traders Focus on 3%| |Treasuries traders have a new level to focus on: the pivotal 3 percent mark on 10-year notes.| |http://www.bloomberg.com/news/articles/2018-04-20/treasury-10-year-yield-sets-2018-high-as-traders-focus-on-3| |https://assets.bwbx.io/images/users/iqjWHBFdfxIU/i4uQse53FaQY/v0/1200x631.jpg| |2018-04-20T19:51:41Z|
|bloomberg| |38| |NOVALUE| |Buying Your First “Real” Watch? Here Are Five to Consider| |All new, and all under $3,000| |http://www.bloomberg.com/news/articles/2018-04-20/buying-your-first-real-watch-here-are-five-to-consider| |https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iXPvpuycnnOE/v0/1200x675.jpg| |2018-04-20T06:35:12Z|
|bloomberg| |39| |Kim Bhasin, Justina Vasquez| |Why a Cashmere Sweater Can Cost $2,000 … or $30| |The rise of cashmere has created an oddly wide price gap for plain sweaters.| |http://www.bloomberg.com/news/articles/2018-04-19/why-a-cashmere-sweater-can-cost-2-000-or-30| |https://assets.bwbx.io/images/users/iqjWHBFdfxIU/i2o7oIIdmySg/v1/1200x800.jpg| |2018-04-19T09:00:12Z|
|breitbart-news| |40| |AP| |Accepting rights award, Kaepernick decries 'lawful lynching' - Breitbart| |AMSTERDAM (AP) — Amnesty International gave former NFL quarterback Colin Kaepernick its Ambassador of Conscience Award on Saturday for his kneeling protest of racial injustice that launched a sports movement and might have cost him his job. Onetime San Franci…| |http://www.breitbart.com/news/accepting-rights-award-kaepernick-decries-lawful-lynching/| |http://media.breitbart.com/media/2018/04/wi/ap/21/2iivds_aptopix-netherlands-kaepernick-60374-nfl-quarterback-social-justice.jpg| |2018-04-21T19:53:08.5791994Z|
|breitbart-news| |41| |Jerome Hudson| |Kanye West Praises Conservative Firebrand Candace Owens| |Hip-hop megastar and fashion mogul Kanye West took to Twitter on Saturday and declared his "love" for conservative YouTube star turned grassroots activist Candace Owens.| |http://www.breitbart.com/big-hollywood/2018/04/21/kanye-west-praises-conservative-firebrand-candace-owens/| |http://media.breitbart.com/media/2018/04/KanyeandCandice1.jpg| |2018-04-21T12:12:44Z|
|breitbart-news| |42| |AWR Hawkins| |Unpublished CDC Study Confirms over 2 Million Annual Defensive Gun Uses| |An unpublished Centers for Disease Control and Prevention (CDC) study confirms Florida State University criminologist Gary Kleck's findings of more than two million defensive handgun uses (DGUs) per year.| |http://www.breitbart.com/big-government/2018/04/21/unpublished-cdc-study-confirms-2-million-annual-defensive-gun-uses/| |http://media.breitbart.com/media/2015/01/raised-gun-AP.jpg| |2018-04-21T12:04:58Z|
|breitbart-news| |43| |Bob Price| |Four Border Patrol Agents Assaulted near Texas Border| |Border Patrol officials in the Rio Grande Valley Sector reported assaults on four agents in separate incidents in a one-week period. Fortunately, none of the agents were seriously injured during the attacks.| |http://www.breitbart.com/texas/2018/04/21/four-border-patrol-agents-assaulted-near-texas-border/| |http://media.breitbart.com/media/2016/12/South-Texas-Laredo-BP-Air-Boat-Patrol-Rio-Grand-River-DB.jpg| |2018-04-21T11:19:27Z|
|breitbart-news| |44| |Dylan Gwinn| |Baltimore Police Chief Apologizes for '200 Years' of Police Brutality at Rap Concert (Video)| |Baltimore's police chief apologized for "200 years" of police brutality, to a packed rap concert on Wednesday night.| |http://www.breitbart.com/big-hollywood/2018/04/21/baltimore-police-chief-apologizes-200-years-police-brutality-rap-concert/| |http://media.breitbart.com/media/2018/04/darryl-de-sousa.jpg| |2018-04-21T10:57:57Z|
|breitbart-news| |45| |Ben Kew| |'Smallville' Actress Allison Mack Charged with Sex Trafficking for Her Alleged Role in NXIVM Sex Cult| |Smallville actress Allison Mack was arrested by federal prosecutors on Friday for her alleged involvement in a sadistic sex cult, which is currently the focus of multiple criminal investigations.| |http://www.breitbart.com/big-hollywood/2018/04/21/smallville-actress-allison-mack-charged-sex-trafficking-alleged-role-nxivm-sex-cult/| |http://media.breitbart.com/media/2018/04/Allymack1.jpg| |2018-04-21T10:36:04Z|
|breitbart-news| |46| |Ben Kew| |Amy Schumer Responds to ‘I Feel Pretty’ Backlash: a Black Woman Should’ve Played My Role| |Actress Amy Schumer responded to criticism of her latest film I Feel Pretty by suggesting her role should have been given to a "woman of color."| |http://www.breitbart.com/big-hollywood/2018/04/21/amy-schumer-responds-to-i-feel-pretty-backlash-a-black-woman-shouldve-played-my-role/| |http://media.breitbart.com/media/2018/04/Ifeelblack1.jpg| |2018-04-21T10:14:29Z|
|breitbart-news| |47| |Pam Key| |Trey Gowdy: Comey's 'Whole Book Tour Is a Pretty Weaselly Thing'| || |http://www.breitbart.com/video/2018/04/20/trey-gowdy-comeys-whole-book-tour-pretty-weaselly-thing/| |http://media.breitbart.com/media/2017/06/Trey-Gowdy-close-AP.jpg| |2018-04-20T18:18:26Z|
|breitbart-news| |48| |Charlie Spiering| |Donald Trump Announces Plan to Countersue Democrats for DNC Server| |“Just heard the Campaign was sued by the Obstructionist Democrats,” Trump wrote on Twitter. “This can be good news in that we will now counter[sue] for the DNC Server that they refused to give to the FBI.”| |http://www.breitbart.com/big-government/2018/04/20/donald-trump-announces-plan-to-countersue-democrats-for-dnc-server/| |http://media.breitbart.com/media/2016/01/ap_hillary-clinton-tom-perez_ap-photo-wi.jpg| |2018-04-20T16:27:39Z|
|breitbart-news| |49| |Jeff Poor| |CNN's Borger: DNC Lawsuit Against Trump a '100 Percent Stunt' --- 'Just a Way to Raise Money'| || |http://www.breitbart.com/video/2018/04/20/cnns-borger-dnc-lawsuit-trump-100-percent-stunt-just-way-raise-money/| |http://media.breitbart.com/media/2018/04/Borger420.jpg| |2018-04-20T14:34:48Z|
|cbs-news| |50| |AP| |Colin Kaepernick, NFL quarterback, honored by Amnesty for inequality protests| |Amnesty hands its award each year to a person or organization "dedicated to fighting injustice and using their talents to inspire others"| |https://www.cbsnews.com/news/colin-kaepernick-nfl-quarterback-honored-by-amnesty-for-inequality-protests/| |https://cbsnews3.cbsistatic.com/hub/i/r/2018/04/21/a5927f68-02ae-4e89-bef3-02e9653c885f/thumbnail/1200x630g2/1ab26ccbbd0bd602f2b4b4c5e1a1fd4f/colin.jpg| |2018-04-21T16:24:20+00:00|
|cbs-news| |51| |CBS News| |Iran open to prisoner swap if US has 'change of attitude,' says Foreign Minister| |Margaret Brennan’s interview with Mohammad Javad Zarif airs Sunday on ‘Face the Nation’| |https://www.cbsnews.com/news/iran-open-to-prisoner-swap-if-us-has-change-of-attitude-says-foreign-minister/| |https://cbsnews1.cbsistatic.com/hub/i/r/2015/07/17/6e7a5b69-433b-4e47-9496-a98cd8a33ffe/thumbnail/1200x630/337ad4b9692f6c6fee2d982eba58a5f2/zarif-brennan-mixdown422234640x360.jpg| |2018-04-21T16:17:53+00:00|
|cbs-news| |52| |CBS/AP| |Relatives win injunction stopping sales of Frida Kahlo Barbie doll| |"This Barbie doll is meant to honor Frida Kahlo's great legacy and story," Mattel said in a statement. "We followed the correct steps ... and look forward to the matter being resolved in court"| |https://www.cbsnews.com/news/relatives-win-injunction-stopping-sales-of-frida-kahlo-barbie-doll/| |https://cbsnews2.cbsistatic.com/hub/i/r/2018/04/21/783646ae-1ba5-421e-8af7-4a970739bc43/thumbnail/1200x630g2/95be743b1e352ea03be821801ab4edbd/frida.jpg| |2018-04-21T14:17:53+00:00|
|cbs-news| |53| |AP| |Dad stabbed to death in random attack as daughter sits in lap at restaurant| |Homeless man was charged Friday with murder in a random attack on a California father in a crowded beachside steakhouse| |https://www.cbsnews.com/news/dad-stabbed-to-death-in-random-attack-as-daughter-sits-in-lap-at-restaurant/| |https://cbsnews1.cbsistatic.com/hub/i/r/2018/04/21/1121303e-658a-437d-96e7-e62129c50008/thumbnail/1200x630/9c255fbbd8e49648f392a32f31ffa8fa/jackson.jpg| |2018-04-21T13:45:58+00:00|
|cbs-news| |54| |Kathryn Watson| |Trump lashes out at New York Times reporter in latest attack on press| |President's tweets also served as an indication of how much the situation involving his lawyer Michael Cohen appears to be frustrating Mr. Trump| |https://www.cbsnews.com/news/trump-new-york-times-reporter-maggie-haberman-michael-cohen-coverage-attack-on-press/| |https://cbsnews1.cbsistatic.com/hub/i/r/2017/05/03/549d8294-cb04-4a54-b983-57d9dbb8f854/thumbnail/1200x630g2/eebbb049a2055e444c07c187a6e7056c/ap-576109573733.jpg| |2018-04-21T13:26:25+00:00|
|cbs-news| |55| |AP| |Chemical weapons inspectors have left for Syria's Douma, Russia says| |Russian Foreign Ministry says chemical weapons inspectors have left for Syria's Douma.| |https://www.cbsnews.com/news/chemical-weapons-inspectors-left-for-douma-syria-russia-foreign-ministry-says-2018-04-21/| |https://cbsnews2.cbsistatic.com/hub/i/r/2017/06/22/560169d1-a870-44fd-a33d-8ebd20961157/thumbnail/1200x630/239a7fd031c4bfa2d2c1af5e6f3fe5f2/breaking-news-v6.jpg| |2018-04-21T12:51:28+00:00|
|cbs-news| |56| |CBS News/AP| |Jeb Bush to eulogize mother, Barbara Bush, in private service| |First lady Melania Trump, former President Bill Clinton and Hillary Clinton, and former President Barack Obama and Michelle Obama, are among those expected to attend the service at St. Martin's Episcopal Church in Houston| |https://www.cbsnews.com/live-news/barbara-bush-funeral-services-time-location-watch-live-updates-2018-04-21/| |https://cbsnews2.cbsistatic.com/hub/i/r/2018/04/21/c182a9fa-9bdf-44b7-b6f7-1844814d6293/thumbnail/1200x630/4229b778245677a9eb5ceb3e471da0d6/bush.jpg| |2018-04-21T12:35:37+00:00|
|cbs-news| |57| |CBS/AP| |North Korea stops short of suggesting any intention of giving up nuclear arsenal| |Country's suspension of nuclear, missile tests​ gives best idea yet of what Kim intends to bring with him in summits with Moon and Trump| |https://www.cbsnews.com/news/north-korea-stops-short-of-suggesting-any-intention-of-giving-up-nuclear-arsenal/| |https://cbsnews3.cbsistatic.com/hub/i/r/2018/04/21/8f8bf0f6-056b-4682-9f96-5536caac1152/thumbnail/1200x630g2/e21bf6a3b58d5cb6f668c8f3e5244d36/kim.jpg| |2018-04-21T12:15:03+00:00|
